M,192010,85,Matthew Reiland,84.15,76,81,86,86,92,98,105,105,191,10
M,124794,85,Alex Koch,84.15,77,82,-87,82,97,-103,-103,97,179,11
M,176029,94,Matt Bergeron,93.00,127,132,-137,132,158,163,168,168,300,1
M,170599,94,Stephen Butcher,92.10,120,125,130,130,-153,-154,155,155,285,2
M,170803,94,Jason Garrard,92.20,120,125,-127,125,150,155,157,157,282,3
M,217382,94,Derek Morte,93.15,-115,120,-125,120,-145,-145,145,145,265,4
M,207655,94,Cam Demmerle,89.45,100,-105,-105,100,120,-125,125,125,225,5
M,214591,94,Matt Morton,89.25,86,-91,91,91,118,123,-125,123,214,6
M,1002747,94,Dalton Meers,90.65,95,-100,-105,95,-117,117,-127,117,212,7
M,174563,94,Sean Jacobs,88.55,75,80,85,85,100,105,108,108,193,8
M,167444,94,David Carpenter,93.00,80,85,-90,85,100,105,-110,105,190,9
M,1009101,94,Alfred Satorelli,92.65,65,68,73,73,90,95,100,100,173,10
M,1008187,94,Dan Caudle,92.85,65,70,-75,70,90,92,-96,92,162,11
M,1011188,94,Sai Ganesh,86.60,50,55,60,60,65,70,75,75,135,12
M,201187,94,Mack Graham,92.95,105,109,-112,109,0,0,0,0,0,0
M,131980,105,Coard Wilkes,103.00,138,-143,-145,138,160,0,0,160,300,1
M,202434,105,Chris Lesmes,103.50,110,117,-123,117,145,-155,-158,145,262,2
M,176926,105,Martin Pfeifer,101.30,90,95,-100,95,110,115,121,121,216,3
M,200644,105,Josh Geraghty,104.30,-90,90,-100,90,110,115,120,120,210,4
M,1008529,105,Will Thorsen,100.80,89,91,-93,91,111,114,117,117,208,5
M,1010013,105,Tracy Helton,99.25,84,-88,88,88,109,115,-118,115,203,6
M,216253,105,Robert Garren,98.10,77,80,82,82,100,104,106,106,188,7
M,1005609,105,Jacob Willis,96.40,70,75,-81,75,90,97,105,105,180,8
M,179765,105,Allan Foodman,95.30,40,42,-44,42,52,55,-58,55,97,9
M,1002604,105,Matthew Cooney,99.05,-95,-95,-98,0,110,112,-118,112,0,0
M,1008592,105+,Aaron Ringold,108.70,93,98,-105,98,-134,135,-145,135,233,1
M,210669,105+,JB Wood,105.20,90,-97,-102,90,110,118,123,123,213,2
M,1005827,105+,John Jay Brown,113.90,58,-61,61,61,68,71,75,75,136,3
